Tract,Z_i,time
V0,294.66527591194074,6.755716323852539
V1,303.0473996849601,5.863894462585449
V2,296.3522061095771,8.480917930603027
V3,302.8494330323453,6.422744512557983
V4,303.04229469837543,4.9104132652282715
V5,302.90133739390245,6.340533018112183
V6,302.89158232649817,5.091221332550049
V7,302.94860188502963,7.071808099746704
V8,302.75426631098395,6.557604074478149
V9,302.7798942515658,5.575774192810059
V10,302.7342276774517,5.114971876144409
V11,302.51341113070396,8.639100551605225
V12,303.0426968103372,2.6420156955718994
V13,303.0062950441935,3.7299749851226807
V14,300.27344439641047,8.775203943252563
V15,302.7234369229013,9.844494581222534
V16,302.9060931422767,8.079781532287598
V17,302.9534791025291,6.512372970581055
V18,302.85996751599083,8.530740022659302
V19,302.8020178368166,6.994290351867676
V20,301.56249620381305,6.180037498474121
V21,302.93449843622557,5.057785987854004
V22,302.96171275162556,4.96150803565979
V23,302.9188354258562,5.810346603393555
V24,302.5958141858253,11.511593580245972
V25,302.9355863173573,8.43268346786499
V26,303.0371480680295,5.077979326248169
V27,298.70383269078184,6.882842779159546
V28,296.05200356076506,11.249493598937988
V29,300.45469279140946,6.457990646362305
V30,303.0140117488089,6.704848766326904
V31,302.9983089780816,3.6862075328826904
V32,259.18538253073245,5.900265216827393
V33,302.9234804401352,7.928337335586548
V34,302.9077179893009,5.224277973175049
V35,302.78082496505886,10.211312770843506
V36,302.8194357507628,4.256218194961548
V37,302.22576120643515,5.684138774871826
V38,302.161194033438,7.062408447265625
V39,303.01799865845464,8.032659769058228
V40,303.04209407819604,3.936537265777588
V41,302.9963471687885,7.104132413864136
V42,303.0523723542207,7.164994716644287
V43,278.7285985691902,4.9743170738220215
V44,302.80636310164334,5.5107581615448
V45,303.0286101902019,2.761213541030884
V46,302.82905068736864,6.8875250816345215
V47,303.0182555056107,5.26921534538269
V48,165.54851402886794,7.251266717910767
V49,303.0284185313089,3.9533443450927734
V50,303.04252804613327,5.164195775985718
V51,303.0208480888356,6.978070497512817
V52,303.0260968061083,2.6844804286956787
V53,302.97182163323,4.2815070152282715
V54,303.0424280646383,3.8875110149383545
V55,303.0100829855046,8.004303693771362
V56,303.00324456640124,7.349535226821899
V57,303.0450296557717,4.3388214111328125
V58,296.3840071198051,4.976132392883301
V59,292.649307150909,2.88531494140625
V60,302.95031792071535,6.646902322769165
V61,302.9688373838361,8.327317476272583
V62,285.3396160212955,6.48447585105896
V63,302.89230465051753,4.539203882217407
V64,302.95102246295266,7.070042848587036
V65,191.36064496015746,6.244248151779175
V66,303.0454779055143,8.105448007583618
V67,302.9317832230791,4.212171316146851
V68,303.01805682494756,4.191205024719238
V69,303.0444316819403,6.140463829040527
V70,302.99841547516644,9.355466365814209
V71,303.0428468730986,7.451091051101685
V72,302.90786111926855,8.745721578598022
V73,303.0229093387353,5.051457405090332
V74,302.99306793328464,5.564479112625122
V75,302.8965748245256,9.618627548217773
V76,303.014902484634,5.664413928985596
V77,302.94404242416715,2.775160789489746
V78,302.83448420384025,5.451344966888428
V79,302.9705066160324,7.394399881362915
V80,303.01667010942936,3.2511301040649414
V81,302.4317307440463,2.5036065578460693
V82,303.0427286230256,4.468601226806641
V83,257.47290029634075,7.117329835891724
V84,296.69365684088274,10.426158666610718
V85,302.9649927758377,9.078584432601929
V86,302.84865841803014,5.305387020111084
V87,178.68061085478553,5.119311094284058
V88,302.94619881170024,5.304710149765015
V89,303.01291057384003,10.879990816116333
V90,286.83890574488396,6.603092670440674
V91,296.73127696826907,3.6021924018859863
V92,302.34955177826254,2.7340691089630127
V93,303.04267616305276,3.0017120838165283
V94,303.0432414589404,5.020535707473755
V95,295.92189128114615,3.233447790145874
V96,291.81580537898736,6.189241409301758
V97,302.9592182920107,7.590480327606201
V98,302.98954434213084,3.6971864700317383
V99,303.0395930028556,7.467588901519775
V100,303.01575894292057,6.166078805923462
V101,303.0340956959705,6.124334096908569
V102,302.9069795803432,5.5879223346710205
V103,303.04517553325763,6.194444417953491
V104,303.0134599283565,4.923144817352295
V105,303.0127952913996,5.324789524078369
V106,302.972430755229,7.657754898071289
V107,303.0074804039005,6.864893674850464
V108,303.0285322136952,6.707932233810425
V109,302.89595361125134,4.149029970169067
V110,302.8946962748758,10.498579025268555
V111,303.0123421550174,7.561193227767944
V112,302.99642134342224,5.4914634227752686
V113,293.0867060301647,4.789013147354126
V114,302.9672723542498,6.67804741859436
V115,303.03525493051643,3.588306427001953
V116,303.02342841693945,4.363996982574463
V117,302.9605894164445,5.417778015136719
V118,303.0630427696458,7.210465431213379
V119,302.98421255487136,5.126540422439575
V120,302.9723155187769,7.082193613052368
V121,302.9780062668881,8.976285934448242
V122,302.9240033128422,6.5024025440216064
