Tract,probability
V0,0.00800574550682885
V1,1.2043109367978926
V2,1.2024834765507686
V3,1.1796299218638704
V4,1.164188265187967
V5,1.204392268187072
V6,1.2047420441682466
V7,1.2046081354686808
V8,0.9664944807861234
V9,1.204126808355809
V10,0.9326035374109625
V11,0.5720219277099761
V12,1.2047104129585209
V13,1.179414351337675
V14,1.204609250387449
V15,1.2041625158035067
V16,1.2043098333026616
V17,1.1923260887963862
V18,1.2045134103502015
V19,1.117771600417583
V20,1.2044473549076078
V21,1.1944959874578664
V22,1.2047114938270627
V23,1.2046799001188908
V24,1.2041024861713552
V25,1.2045271353279776
V26,1.204753491752395
V27,1.2046015424512295
V28,1.1256650457954738
V29,1.2046529899434681
V30,1.2027470533037532
V31,1.204600511245156
V32,1.2045836477996426
V33,1.2045597510180528
V34,1.1770847964849789
V35,1.2043717376095053
V36,1.1725710141753736
V37,1.202361004437062
V38,1.1846754416212004
V39,1.20476925801254
V40,0.925710906430765
V41,1.204645826901724
V42,1.204598340656903
V43,1.2040072574740621
V44,1.2044731274333873
V45,1.2047618096953499
V46,1.204730573641473
V47,1.2047284589539728
V48,1.1822540559290458
V49,1.1923145515011029
V50,1.204712188887752
V51,1.2047131115104337
V52,1.2047315390369968
V53,1.204527654313744
V54,1.1537323628145015
V55,1.204648398167056
V56,1.2046058733540523
V57,1.2047307604466608
V58,1.204574025593753
V59,1.1100682165287343
V60,1.2046742424492756
V61,1.1137090748436598
V62,1.204769908821021
V63,1.204533161506278
V64,1.2045593640785428
V65,1.204405283775823
V66,1.2046811098700267
V67,1.2045082401171003
V68,1.2047489330914307
V69,1.2047523645599432
V70,1.2046386536558849
V71,1.204573932933597
V72,1.2047318950216555
V73,1.2044678345335502
V74,1.1912849124188636
V75,1.1781356507740337
V76,1.2045985087973732
V77,1.0254931559839593
V78,1.2042027293284312
V79,1.2047322738807413
V80,1.1270553367734326
V81,1.2019887012257056
V82,1.2047316787952431
V83,1.2047146101745683
V84,1.2046591810313805
V85,0.5800925769050213
V86,1.2042756342414422
V87,1.1535368428531696
V88,1.2042684364629697
V89,0.9633355637159002
V90,1.2046226963939752
V91,1.2042255794778496
V92,1.0564425707815173
V93,1.2047317022178214
V94,1.0797228655524842
V95,1.2044214751297422
V96,1.2045741667233834
V97,1.1751381758665673
V98,1.2046028794241517
V99,1.204514991943346
V100,1.2047709380533465
V101,1.2046796201272136
V102,0.0
V103,1.186067679552923
V104,1.059014721584986
V105,1.2047267106544355
V106,1.204762572313875
V107,1.2045158181228912
V108,1.2047263203726586
V109,1.204561989436996
V110,1.1407020189944632
V111,1.204720605376956
V112,1.2047469234603332
V113,1.2041677790312035
V114,1.1948832432444092
V115,1.2046345247758417
V116,1.2047316981738987
V117,1.127239023160921
V118,1.204767811873976
V119,1.183627827536439
V120,1.2047278922866391
V121,1.2047485230271737
V122,0.8592221140325138
