Tract,Z_i,time
V0,0,0
V1,0,0
V2,0,0
V3,0,0
V4,0,0
V5,0,0
V6,0,0
V7,0,0
V8,917.0505645108232,74.77475762367249
V9,0,0
V10,907.5138443070364,106.15376400947571
V11,0,0
V12,0,0
V13,0,0
V14,0,0
V15,896.1588511192705,65.53163385391235
V16,295.78585239986035,89.11934232711792
V17,0,0
V18,0,0
V19,0,0
V20,0,0
V21,0,0
V22,0,0
V23,0,0
V24,0,0
V25,0,0
V26,0,0
V27,0,0
V28,0,0
V29,0,0
V30,1089.9307395043647,80.13834643363953
V31,0,0
V32,0,0
V33,0,0
V34,0,0
V35,0,0
V36,982.7602245693215,77.37450432777405
V37,0,0
V38,0,0
V39,0,0
V40,0,0
V41,1093.7433575010791,90.22549343109131
V42,0,0
V43,0,0
V44,0,0
V45,0,0
V46,831.3471523636327,79.30846858024597
V47,0,0
V48,0,0
V49,0,0
V50,965.9046653099429,60.675703048706055
V51,0,0
V52,0,0
V53,0,0
V54,1016.7776383127739,83.75585317611694
V55,0,0
V56,0,0
V57,1126.313125501671,91.05347871780396
V58,0,0
V59,763.1480835250237,93.20360827445984
V60,0,0
V61,0,0
V62,0,0
V63,0,0
V64,0,0
V65,694.9747420185824,101.99619698524475
V66,0,0
V67,0,0
V68,0,0
V69,0,0
V70,0,0
V71,970.2846095663867,58.53355622291565
V72,0,0
V73,1213.627246237578,65.45864915847778
V74,634.2082233582495,82.57373070716858
V75,0,0
V76,0,0
V77,1001.0559514596887,71.44325709342957
V78,386.08061846982764,71.5109634399414
V79,0,0
V80,948.7537663017711,89.21222853660583
V81,1263.6553964570185,67.20404028892517
V82,0,0
V83,0,0
V84,0,0
V85,0,0
V86,0,0
V87,0,0
V88,0,0
V89,0,0
V90,0,0
V91,0,0
V92,0,0
V93,0,0
V94,0,0
V95,0,0
V96,1188.2199155792673,82.55205583572388
V97,0,0
V98,0,0
V99,0,0
V100,0,0
V101,0,0
V102,962.8352065814161,86.59492349624634
V103,0,0
V104,0,0
V105,0,0
V106,0,0
V107,0,0
V108,0,0
V109,0,0
V110,0,0
V111,0,0
V112,0,0
V113,0,0
V114,0,0
V115,380.67601172239085,68.5348961353302
V116,0,0
V117,0,0
V118,0,0
V119,0,0
V120,0,0
V121,0,0
V122,0,0
