Tract,Z_i,time
V0,125.38774765087337,2.5260088443756104
V1,125.58736634980717,2.510329008102417
V2,124.9194939125691,2.2457756996154785
V3,124.94543742809728,3.179239273071289
V4,125.28393548466553,2.3912479877471924
V5,125.31607519892435,4.227733135223389
V6,125.5024874016823,2.433130979537964
V7,125.29666004976215,3.5221121311187744
V8,124.8350018604523,2.851855754852295
V9,123.42339736278012,3.8881850242614746
V10,124.61325024167758,3.076871156692505
V11,125.27721778472312,3.031233072280884
V12,125.27567158912666,4.907377004623413
V13,125.10491448265161,3.8349671363830566
V14,124.77971569427672,4.174028158187866
V15,124.57472002885326,2.81164288520813
V16,124.77764264705347,5.6937196254730225
V17,125.35337558316625,2.417391061782837
V18,124.86458806940223,4.4914231300354
V19,125.22765558625474,2.9469358921051025
V20,123.31215462116708,3.2665836811065674
V21,125.29393141291678,3.3657238483428955
V22,125.48489676203161,2.964725971221924
V23,125.4791172515048,2.783700942993164
V24,124.79080858619034,2.5887811183929443
V25,125.27022567538043,2.670121908187866
V26,125.23032196347334,3.426630973815918
V27,125.41367801745778,3.9363889694213867
V28,125.26584151127636,3.718430757522583
V29,125.3086167320993,2.8671560287475586
V30,125.3494164048447,2.3769259452819824
V31,125.56655041768965,2.4228198528289795
V32,125.53426549342953,2.785583972930908
V33,125.41803169399034,3.738970994949341
V34,124.88342118743176,3.415954113006592
V35,125.26669741793003,2.806565046310425
V36,122.98815440002828,3.75701904296875
V37,124.84320238348394,3.3264641761779785
V38,120.32231817017373,3.8386459350585938
V39,125.54792924355851,3.145551919937134
V40,125.46826978972426,2.5760130882263184
V41,125.63746503606455,2.891294002532959
V42,125.37958086807825,3.7743921279907227
V43,122.01219605204032,3.8337059020996094
V44,125.26785270207462,2.7054600715637207
V45,125.50466520636917,2.393247127532959
V46,125.47682113691336,2.4627480506896973
V47,125.51968682509988,2.4756877422332764
V48,125.29972317207287,3.564931869506836
V49,125.13258977730197,3.8456239700317383
V50,125.15565511682533,3.7661471366882324
V51,125.6616237056285,4.193311929702759
V52,125.61274848331193,2.676374912261963
V53,125.3491407660194,3.0763039588928223
V54,125.13818377842377,3.9190831184387207
V55,125.17712044483376,2.7275750637054443
V56,125.39105832117326,3.231412172317505
V57,124.4340087238557,3.353389024734497
V58,125.34843614441931,2.418532133102417
V59,125.34574809131442,2.8436479568481445
V60,125.36372248070882,3.4426610469818115
V61,125.20058698093902,3.3668060302734375
V62,125.50855069679633,2.3531711101531982
V63,125.29517974014968,2.7002360820770264
V64,125.32154236415786,2.3969638347625732
V65,124.84404331464945,3.7418317794799805
V66,125.47573955025149,3.9756569862365723
V67,125.08702759035046,2.9345109462738037
V68,125.37837510252302,2.187620162963867
V69,125.5479466626604,3.0579850673675537
V70,124.81336923854138,3.628856658935547
V71,125.60438337485685,2.1726131439208984
V72,125.13375849972515,4.387959718704224
V73,125.61206678995883,2.5265889167785645
V74,125.48427423738752,2.4077768325805664
V75,125.35116568531791,4.417740821838379
V76,125.15041895354237,3.2154078483581543
V77,125.2288045980462,3.473097324371338
V78,125.26017253050867,2.3113479614257812
V79,125.52337227205327,2.90875506401062
V80,125.29420826990155,2.5641629695892334
V81,125.48943245121009,0.8928189277648926
V82,125.60766754071241,2.5013318061828613
V83,125.2980632485224,2.9429662227630615
V84,125.53604598165506,3.2334108352661133
V85,124.86669014061134,3.70705509185791
V86,125.26370975702456,2.33951997756958
V87,125.25007269729389,2.4998419284820557
V88,125.24814681919125,3.0533928871154785
V89,125.25025341408353,3.180826187133789
V90,124.82561913552917,3.701874256134033
V91,125.27607838760892,2.386033296585083
V92,121.85844308531887,3.6067728996276855
V93,125.55916331415675,2.8214149475097656
V94,125.35328225341333,3.1439507007598877
V95,125.16276114220287,4.490969657897949
V96,125.24945682474396,3.699681043624878
V97,125.31038230754065,3.208735227584839
V98,125.41989371873623,3.375333786010742
V99,125.25435380864842,3.5148720741271973
V100,125.47893154864298,2.248683214187622
V101,125.27209770049026,3.6250290870666504
V102,124.96807555929783,3.62391996383667
V103,125.47180756556259,3.3440518379211426
V104,125.559598718041,2.220156192779541
V105,125.14756638795134,3.6632769107818604
V106,125.60579320003194,2.338322162628174
V107,125.5673013367627,3.6561248302459717
V108,125.4718840999049,3.2386350631713867
V109,125.47025272947613,2.2960970401763916
V110,125.56403006321217,3.503437042236328
V111,125.47783220275598,2.424405574798584
V112,125.22035309978115,3.885920763015747
V113,125.25208612896645,3.333906888961792
V114,125.33407572398076,2.628988742828369
V115,125.58070925778064,3.543907880783081
V116,125.63008377261013,2.8105053901672363
V117,125.4883835631395,2.528553009033203
V118,125.54511073236141,2.465449094772339
V119,125.47610336405941,2.5387680530548096
V120,125.48558036469706,2.7698400020599365
V121,125.59372527611848,2.380855083465576
V122,125.28684652786242,2.55672025680542
