Tract index,P
1,[5.03555831e-04 9.99496444e-01]
2,[0.06894804 0.93105196]
3,[0.00819698 0.99180302]
4,[0.00537021 0.99462979]
5,[0.06250889 0.93749111]
6,[7.15879109e-05 9.99928412e-01]
7,[0.01028016 0.98971984]
8,[0.06366571 0.93633429]
9,[0.13856397 0.86143603]
10,[0.07543626 0.92456374]
11,[0.07987492 0.92012508]
12,[4.72296339e-05 9.99952770e-01]
13,[0.00597226 0.99402774]
14,[0.01100448 0.98899552]
15,[0.09794632 0.90205368]
16,[0.02146995 0.97853005]
17,[2.70933672e-04 9.99729066e-01]
18,[0.01262914 0.98737086]
19,[0.00190164 0.99809836]
20,[0.02677992 0.97322008]
21,[0.01765073 0.98234927]
22,[0.00940645 0.99059355]
23,[0.03350187 0.96649813]
24,[0.05574478 0.94425522]
25,[0.00572113 0.99427887]
26,[0.00554227 0.99445773]
27,[0.00586954 0.99413046]
28,[0.00970068 0.99029932]
29,[0.00528799 0.99471201]
30,[0.0036228 0.9963772]
31,[1.62148055e-04 9.99837852e-01]
32,[0.00217696 0.99782304]
33,[0.03738973 0.96261027]
34,[0.00833326 0.99166674]
35,[0.00172684 0.99827316]
36,[0.09522789 0.90477211]
37,[0.0557752 0.9442248]
38,[0.03290511 0.96709489]
39,[6.55841883e-05 9.99934416e-01]
40,[3.62328641e-04 9.99637671e-01]
41,[6.07304909e-07 9.99999393e-01]
42,[0.00313008 0.99686992]
43,[0.05765675 0.94234325]
44,[0.03405564 0.96594436]
45,[4.97651049e-06 9.99995023e-01]
46,[0.00321452 0.99678548]
47,[5.04295386e-05 9.99949570e-01]
48,[0.00339203 0.99660797]
49,[0.01607807 0.98392193]
50,[0.00100587 0.99899413]
51,[5.30821059e-06 9.99994692e-01]
52,[5.14757425e-10 9.99999999e-01]
53,[6.18794867e-04 9.99381205e-01]
54,[0.00350183 0.99649817]
55,[0.00145108 0.99854892]
56,[0.0011559 0.9988441]
57,[6.79987254e-04 9.99320013e-01]
58,[8.44631457e-04 9.99155369e-01]
59,[9.74808216e-04 9.99025192e-01]
60,[0.00135024 0.99864976]
61,[0.01276534 0.98723466]
62,[0.0076042 0.9923958]
63,[0.02251184 0.97748816]
64,[0.00853775 0.99146225]
65,[1.95119613e-04 9.99804880e-01]
66,[7.97144787e-07 9.99999203e-01]
67,[0.00882612 0.99117388]
68,[0.020791 0.979209]
69,[2.85726482e-04 9.99714274e-01]
70,[4.20898309e-06 9.99995791e-01]
71,[1.49318607e-09 9.99999999e-01]
72,[2.69542490e-08 9.99999973e-01]
73,[4.94163614e-05 9.99950584e-01]
74,[2.33623453e-04 9.99766377e-01]
75,[0.00919293 0.99080707]
76,[0.0112308 0.9887692]
77,[0.00488119 0.99511881]
78,[0.00668768 0.99331232]
79,[3.95644185e-06 9.99996044e-01]
80,[4.26498555e-04 9.99573501e-01]
81,[1.8850222e-31 1.0000000e+00]
82,[6.46727936e-13 1.00000000e+00]
83,[2.96543765e-04 9.99703456e-01]
84,[2.88235807e-05 9.99971176e-01]
85,[5.80041730e-08 9.99999942e-01]
86,[7.14247060e-04 9.99285753e-01]
87,[0.00212694 0.99787306]
88,[0.03137713 0.96862287]
89,[0.00600137 0.99399863]
90,[0.00931458 0.99068542]
91,[0.01443479 0.98556521]
92,[0.00257276 0.99742724]
93,[1.503375e-14 1.000000e+00]
94,[0.00214011 0.99785989]
95,[0.00251169 0.99748831]
96,[0.00354812 0.99645188]
97,[0.00480346 0.99519654]
98,[0.00603182 0.99396818]
99,[7.34648590e-04 9.99265351e-01]
100,[7.21144674e-04 9.99278855e-01]
101,[4.32053155e-05 9.99956795e-01]
102,[0.00268967 0.99731033]
103,[0.00879734 0.99120266]
104,[0.00186401 0.99813599]
105,[2.52587018e-04 9.99747413e-01]
106,[3.03466462e-04 9.99696534e-01]
107,[8.58897520e-04 9.99141102e-01]
108,[0.0055388 0.9944612]
109,[0.0059077 0.9940923]
110,[8.33418084e-07 9.99999167e-01]
111,[0.00456842 0.99543158]
112,[0.01660232 0.98339768]
113,[0.0136984 0.9863016]
114,[0.0087151 0.9912849]
115,[0.00348961 0.99651039]
116,[3.36793210e-04 9.99663207e-01]
117,[0.01683907 0.98316093]
118,[0.00378969 0.99621031]
119,[0.00426074 0.99573926]
120,[0.00169899 0.99830101]
121,[0.00220787 0.99779213]
122,[0.02653225 0.97346775]
whole GM,235.05248752734477
