Tract index,P
66,[0.75479497 0.24520503]
67,[0.61330901 0.38669099]
68,[0.65008283 0.34991717]
69,[0.76015527 0.23984473]
70,[0.66030976 0.33969024]
71,[0.75410775 0.24589225]
72,[0.70105718 0.29894282]
73,[0.81394739 0.18605261]
74,[0.71375427 0.28624573]
75,[0.60028183 0.39971817]
76,[0.62211677 0.37788323]
77,[0.62609864 0.37390136]
78,[0.6131339 0.3868661]
79,[0.70395941 0.29604059]
80,[0.65529277 0.34470723]
82,[0.80542078 0.19457922]
83,[0.63821297 0.36178703]
84,[0.68467836 0.31532164]
85,[0.63622969 0.36377031]
86,[0.62232606 0.37767394]
87,[0.61972651 0.38027349]
88,[0.60990853 0.39009147]
89,[0.65109828 0.34890172]
90,[0.5358043 0.4641957]
91,[0.51168002 0.48831998]
92,[0.56422479 0.43577521]
93,[0.72577865 0.27422135]
94,[0.66730568 0.33269432]
95,[0.65333083 0.34666917]
96,[0.65232538 0.34767462]
whole GM,21.537169132245705
