Tract,Z_i,time,P_i
V66,21.24119807722483,4.849737167358398,0.9836713074994156
V67,21.00840147955389,4.970412254333496,0.9728905910454824
V68,20.964194727060367,4.275544166564941,0.970843394184575
V69,21.17698949150016,4.6780478954315186,0.9806978338166764
V70,21.233422014998617,4.408921003341675,0.983311201197057
V71,21.360835075940138,4.53611421585083,0.9892116486102954
V72,21.221740066122504,4.233014822006226,0.9827702148608187
V73,21.102623488716667,4.160598039627075,0.9772539742506768
V74,21.15095325936751,4.037989139556885,0.9794921064179125
V75,21.07525966123389,4.338360071182251,0.9759867664472228
V76,21.11101912366043,4.002866983413696,0.9776427727154524
V77,21.069786296095693,4.13992977142334,0.9757332971173697
V78,21.18447464945385,4.405170202255249,0.9810444684596179
V79,21.183640282646458,3.9940428733825684,0.9810058292696165
V80,21.09231787522603,4.23331618309021,0.9767767254504885
V82,21.243315421368557,3.4401111602783203,0.9837693608519013
V83,21.07169060100152,4.0854878425598145,0.9758214847087562
V84,21.116353929172778,3.744364023208618,0.9778898254049716
V85,21.199876841480656,3.9847910404205322,0.981757737754235
V86,21.11525961216274,3.8159868717193604,0.9778391480260322
V87,21.102476694525482,4.434064149856567,0.9772471762709466
V88,21.046528636025023,4.429113864898682,0.9746562442690362
V89,21.086990950447976,4.568163156509399,0.976530037714593
V90,21.005663284635638,4.704870223999023,0.9727637863442772
V91,20.934548184917855,4.522305965423584,0.969470474786802
V92,21.08025485848779,4.169563293457031,0.9762180920153993
V93,21.24740604676343,4.3638341426849365,0.9839587960624782
V94,21.151635115453956,4.198782920837402,0.9795236828979982
V95,21.094610164242415,2.4601709842681885,0.9768828804293986
V96,20.971667196833096,2.6297318935394287,0.9711894412429786
whole GM,21.59379654086073,2.8408219814300537,N/A
