Tract index,P
66,[0.78514826 0.21485174]
67,[0.6258158 0.3741842]
68,[0.66054672 0.33945328]
69,[0.78804513 0.21195487]
70,[0.68373484 0.31626516]
71,[0.79294398 0.20705602]
72,[0.731008 0.268992]
73,[0.85368713 0.14631287]
74,[0.74337888 0.25662112]
75,[0.61178809 0.38821191]
76,[0.63791643 0.36208357]
77,[0.64073937 0.35926063]
78,[0.62937072 0.37062928]
79,[0.72961505 0.27038495]
80,[0.67472965 0.32527035]
82,[0.85324968 0.14675032]
83,[0.65559286 0.34440714]
84,[0.71276486 0.28723514]
85,[0.65857784 0.34142216]
86,[0.64001983 0.35998017]
87,[0.63713003 0.36286997]
88,[0.62126779 0.37873221]
89,[0.66656951 0.33343049]
90,[0.54381121 0.45618879]
91,[0.51778241 0.48221759]
92,[0.57512862 0.42487138]
93,[0.76368092 0.23631908]
94,[0.68859726 0.31140274]
95,[0.66996216 0.33003784]
96,[0.6642199 0.3357801]
whole GM,21.348749113878625
