Tract,Z_i,time
V0,424.1384231705439,23.52683734893799
V1,466.1348222407076,19.283526182174683
V2,163.28688821591726,22.216777563095093
V3,466.2804175257574,26.75828790664673
V4,418.47783067208417,28.868533849716187
V5,315.8302901681823,27.967094659805298
V6,453.2949860012516,20.421401023864746
V7,466.2591633946875,18.063908338546753
V8,413.35993468283584,11.483132600784302
V9,466.16501034678754,7.173293352127075
V10,360.12804129743483,14.864111423492432
V11,466.07482085928353,22.006762504577637
V12,466.28280328661197,16.523380517959595
V13,161.9579016792935,19.802454471588135
V14,215.0821042299116,19.896262645721436
V15,0,0
V16,466.245804464604,12.833035707473755
V17,466.3101384188262,11.500327110290527
V18,466.0948831140153,26.055912256240845
V19,0,0
V20,453.3833317025157,30.47279191017151
V21,0,0
V22,451.64060938419607,11.443395137786865
V23,226.34027714350776,17.983561277389526
V24,466.17899381524023,21.713388442993164
V25,458.5916202293712,24.09646725654602
V26,466.32700463827376,10.603055477142334
V27,466.2535542789468,22.25771951675415
V28,466.20322521560905,12.617976665496826
V29,456.0470744937932,20.032272338867188
V30,434.5356863154339,17.974000215530396
V31,456.93726186274125,14.67343544960022
V32,466.28626521942846,16.563339948654175
V33,466.2419868376239,19.563767194747925
V34,466.1470633534124,13.79533576965332
V35,466.21245678193395,28.134981632232666
V36,169.54617506011408,22.998969554901123
V37,466.08830868492066,22.42403244972229
V38,466.158951544628,15.282667875289917
V39,466.294542448677,12.557129859924316
V40,272.85870109751954,19.630741357803345
V41,466.2550058502301,19.193436861038208
V42,466.2996789563028,8.945390224456787
V43,202.44441827225586,13.217702150344849
V44,466.1841507243353,19.213440656661987
V45,466.1954068964785,20.56212091445923
V46,466.2680722314234,12.695031642913818
V47,466.3059079225578,20.77095341682434
V48,466.25046074797143,17.777124166488647
V49,160.79484981878147,10.501315593719482
V50,359.7983504030276,25.83499813079834
V51,466.3301470580876,9.601788997650146
V52,466.3423963646472,17.387399435043335
V53,458.2722127237415,18.110422134399414
V54,167.33404400820854,21.997145652770996
V55,174.48297546127924,16.454177618026733
V56,466.31374410466606,14.655698776245117
V57,466.23718235601325,18.202650785446167
V58,466.2456820348827,17.918563842773438
V59,0,0
V60,245.18005136852491,27.669370412826538
V61,466.29731129741424,28.378907680511475
V62,466.2055167046285,26.487497806549072
V63,0,0
V64,466.07046177932347,9.753471374511719
V65,466.13654089139544,22.12268829345703
V66,384.5021077413473,25.463810205459595
V67,306.0273872318518,16.876221418380737
V68,466.2553651889252,23.252857208251953
V69,296.3818549973174,23.55607581138611
V70,388.3324172827203,13.400459051132202
V71,176.4681738162176,15.43703556060791
V72,150.89116013260673,15.531724214553833
V73,466.1648330435371,16.403027296066284
V74,466.1913162402005,13.383009433746338
V75,172.92335529890545,15.84728717803955
V76,166.28257951440258,26.02343726158142
V77,172.6577974277855,13.84531021118164
V78,155.59305681048255,18.46473479270935
V79,465.97382776535477,24.5140118598938
V80,461.52457497278215,11.996621370315552
V81,465.3627915425561,6.125632047653198
V82,466.3151950972852,21.45693302154541
V83,454.28810115253106,19.057204008102417
V84,395.31272900484265,26.926854848861694
V85,466.3316856240977,10.193311214447021
V86,466.15939492160044,9.34766149520874
V87,452.94493131300084,21.87263298034668
V88,455.42859690158417,32.92269968986511
V89,378.9122017752341,17.1796395778656
V90,248.98584396681682,16.962097883224487
V91,466.27715043123607,25.89359760284424
V92,0,0
V93,167.45733754569522,16.08829140663147
V94,168.29511091137874,16.380507707595825
V95,0,0
V96,466.3015216165247,13.128129959106445
V97,466.3052440817057,16.598214626312256
V98,450.1341293945129,20.152812004089355
V99,0,0
V100,458.95553793811314,20.703636407852173
V101,466.08958296377233,17.056331396102905
V102,447.0670033889246,30.1343195438385
V103,465.1017186736674,16.621389150619507
V104,466.3049602125232,23.435600519180298
V105,427.8952394861727,21.744665384292603
V106,466.2589826057566,17.410444498062134
V107,466.22559950820073,7.922675848007202
V108,396.3388678094926,21.948725700378418
V109,466.2393236897964,26.273078680038452
V110,190.18866332467684,12.104719638824463
V111,280.45573065020847,28.961808681488037
V112,466.2198356291924,20.687819957733154
V113,466.2039612170927,22.215391874313354
V114,448.05379628573957,21.44188117980957
V115,466.28780086765494,11.868072032928467
V116,169.4067327567754,15.402937650680542
V117,157.52480883947806,11.043139934539795
V118,176.4646104071855,18.332695722579956
V119,466.26936789195133,13.244752168655396
V120,308.75853423325304,19.237576484680176
V121,461.7969053727039,21.684120655059814
V122,466.21851440583083,13.476312637329102
