Tract,Z_i,time,P_i
V0,94.2358467809918,61.99911141395569,0.04980195932096142
V1,97.82016404008553,79.56277751922607,1.0383460719900222
V2,96.25955933992785,96.2781126499176,1.0217804919152038
V3,96.68084338223801,88.8133749961853,1.026252357555764
V4,98.28843422731956,99.52265501022339,1.043316688368719
V5,96.41206944101134,95.29651761054993,1.023399363299778
V6,97.09762842092317,81.8642327785492,1.030676466961322
V7,96.05275959799896,124.08131551742554,1.0195853443009306
V8,96.72163115588089,104.47019386291504,1.0266853135312821
V9,96.82220266007585,86.81891393661499,1.027752864657982
V10,95.39128604557754,115.50728154182434,1.012563903766435
V11,95.02655836503199,60.53895688056946,1.0086923752512578
V12,97.69651076724699,100.09895849227905,1.0370335114213443
V13,97.32910635520571,73.5869812965393,1.0331335698109567
V14,95.86802763544034,95.12603330612183,1.0176244427876684
V15,95.18403068306655,99.37819576263428,1.0103639198094059
V16,94.88713490603453,98.18059039115906,1.0072124165697947
V17,98.08525626857715,72.77446746826172,1.0411599854287337
V18,97.83112411027551,45.53981065750122,1.038462411457883
V19,95.23251034419806,76.21045207977295,1.0108785239935358
V20,95.90695227941265,80.55853033065796,1.0180376219268457
V21,96.6030540566731,103.95342421531677,1.0254266357688944
V22,97.2382086976692,110.09778213500977,1.0321687050861597
V23,96.38809979965657,64.9474732875824,1.023144929224841
V24,97.67600315984262,107.03777313232422,1.036815826307
V25,96.06677208860182,76.35572290420532,1.0197340847443663
V26,96.37269755769337,94.20061182975769,1.0229814367833872
V27,97.79781372982444,81.60290169715881,1.0381088268668401
V28,98.59430108816157,58.00017333030701,1.0465634182901398
V29,98.23658885436487,49.62561392784119,1.0427663576686368
V30,96.89215476508426,92.88030982017517,1.0284953955479645
V31,97.5435017526213,103.76114416122437,1.0354093441458678
V32,99.5815321651163,75.16716742515564,1.0570427250972962
V33,97.29077762833407,97.47296166419983,1.0327267162406106
V34,95.67757602706632,67.57243371009827,1.015602828109346
V35,96.68741915005211,114.56616187095642,1.0263221583248294
V36,95.2309427077472,89.61143374443054,1.0108618837725034
V37,96.20877599284066,96.44388794898987,1.0212414344571845
V38,97.67739747661959,72.59678053855896,1.036830626766217
