Tract,Z_i,time
V0,355.7676374877181,3.731426954269409
V1,345.4830807159612,4.451958894729614
V2,300.4630031252785,3.269089460372925
V3,362.81228737435634,3.499429225921631
V4,362.9036199954961,3.387228488922119
V5,326.7824144965127,4.930135726928711
V6,362.9152705679708,3.720036268234253
V7,362.9129223785856,3.9519503116607666
V8,352.57247012665437,3.6204724311828613
V9,362.22212459253683,2.023002862930298
V10,362.765883100804,3.2956085205078125
V11,362.7824604776912,3.6665124893188477
V12,362.91549853642726,5.351943731307983
V13,348.6729178767547,3.4329869747161865
V14,0,0
V15,347.02832882248975,2.6484954357147217
V16,251.11702968225927,6.811882257461548
V17,0,0
V18,362.8585693414809,5.192153692245483
V19,352.85922291558455,3.0075623989105225
V20,362.78940462315273,3.429715633392334
V21,359.48273075279366,6.703996181488037
V22,314.91866919389383,6.131314039230347
V23,362.8958823140501,4.41937780380249
V24,362.20019555833255,3.4185984134674072
V25,352.2363929891493,4.344172239303589
V26,360.19351107716057,5.436872243881226
V27,263.86861623258665,4.520598888397217
V28,0,0
V29,362.88177601153774,2.7481353282928467
V30,362.91275937271433,3.2495951652526855
V31,362.9096227691422,5.7965826988220215
V32,325.69039649799066,4.5818867683410645
V33,355.5965870294758,2.504688262939453
V34,361.90739697170744,3.9695775508880615
V35,319.19331255436487,3.7854459285736084
V36,348.9926367353829,3.9495186805725098
V37,362.19377522985627,5.477964401245117
V38,0,0
V39,278.76008643722884,4.4899232387542725
V40,362.91566166483653,5.450598478317261
V41,362.91526969407147,2.594827651977539
V42,362.8870001618152,4.063939094543457
V43,362.7725898265528,4.443002700805664
V44,312.02312982056594,4.4327452182769775
V45,362.47543591086264,2.607212781906128
V46,362.876246428767,4.3895649909973145
V47,362.91525942549424,2.2277963161468506
V48,362.86348312113535,3.989053726196289
V49,362.83735859168394,4.812685966491699
V50,362.91523375775904,3.6694955825805664
V51,362.8784024446127,4.41243577003479
V52,362.9151158464207,4.407598257064819
V53,0,0
V54,362.8866973461199,5.481861591339111
V55,348.749794071514,7.144155502319336
V56,338.5783375958816,4.176557302474976
V57,359.00704869779656,5.574183940887451
V58,362.9005711089035,5.03544807434082
V59,362.89480233035357,4.169241666793823
V60,333.69018378470116,3.8013973236083984
V61,216.3381705572424,6.13210129737854
V62,362.91563046080404,4.472289085388184
V63,362.8366419102797,4.577407360076904
V64,161.4658466933723,6.454610586166382
V65,357.4159081284539,4.506755352020264
V66,362.9127668778828,4.347703456878662
V67,0,0
V68,161.72249611656883,5.382797002792358
V69,0,0
V70,362.9016449161345,4.939668893814087
V71,362.91767534567396,3.9987871646881104
V72,362.91527093932297,2.970975160598755
V73,362.9185532281479,4.162446975708008
V74,335.56766774835927,3.8965542316436768
V75,353.6726419851098,4.747538805007935
V76,362.8187140046329,4.016539096832275
V77,362.82790217088314,3.524517297744751
V78,343.13446959994394,4.513831377029419
V79,362.9037831248724,4.820340156555176
V80,288.34246950168944,3.988616943359375
V81,362.01281613965415,1.5293021202087402
V82,362.9152523783015,2.5569214820861816
V83,362.8273571812181,7.214249849319458
V84,362.9151077692693,3.11692214012146
V85,324.3021325852815,4.5172271728515625
V86,362.08796605074934,6.483446359634399
V87,362.82646583485035,4.366886615753174
V88,362.88225370214354,2.3597731590270996
V89,224.17732627575248,4.0839996337890625
V90,356.719095378094,3.2152910232543945
V91,362.79272916488185,3.0489163398742676
V92,358.08100905146443,5.607900142669678
V93,362.91590302249045,4.262387275695801
V94,362.9132105789847,4.3333494663238525
V95,362.89206074323886,3.9224350452423096
V96,331.165132948907,3.3175933361053467
V97,0,0
V98,362.91480811591225,2.7678699493408203
V99,311.8346219742595,5.368074417114258
V100,329.9912856082255,5.3300628662109375
V101,362.89370389476613,2.9355640411376953
V102,267.4905638675222,3.844804286956787
V103,362.91140602807957,4.263860702514648
V104,362.91338839490334,4.303259611129761
V105,362.91525705220806,3.071350336074829
V106,362.915114676854,3.040696859359741
V107,362.89325746608614,5.071347713470459
V108,353.5850625763555,2.0519282817840576
V109,362.8796040665822,2.3348519802093506
V110,362.29023142777646,4.260305404663086
V111,340.3101268476056,4.445868015289307
V112,362.8862392977369,2.9806411266326904
V113,357.83388147824286,6.801513671875
V114,342.4661870513951,6.059056997299194
V115,362.91524472449476,4.218675374984741
V116,210.365028146555,3.2927300930023193
V117,353.10621020793184,2.5171635150909424
V118,360.1292851753454,4.817974805831909
V119,362.91314048549174,6.074963569641113
V120,254.23324011320602,3.61911940574646
V121,362.91068817824464,2.2846784591674805
V122,0,0
