Tract,Z_i,time
V0,215.75789659995638,2.5524520874023438
V1,218.76023591547553,3.161876916885376
V2,218.0737458583081,3.438911199569702
V3,218.59169673788202,3.387531042098999
V4,212.47069024281313,2.696107864379883
V5,218.5954145121094,2.634561061859131
V6,218.75229720017416,2.9820730686187744
V7,218.60195901009368,2.39349102973938
V8,215.0430575077646,3.1484830379486084
V9,215.03703009287852,3.708914279937744
V10,218.00852219396546,3.0674898624420166
V11,218.55723761480334,4.228583097457886
V12,218.73551640319266,2.5913569927215576
V13,218.29494329565532,2.1407439708709717
V14,217.92498390010667,3.9497432708740234
V15,215.516661899662,3.453016757965088
V16,218.62263925348606,3.6297709941864014
V17,218.70651901497376,3.1487700939178467
V18,218.6330059880357,2.8878352642059326
V19,215.00497956054204,5.1936399936676025
V20,218.06486576790124,2.5885677337646484
V21,218.61056836948416,2.3221230506896973
V22,218.7410253633294,3.637200117111206
V23,218.70238463426512,2.9462778568267822
V24,218.06486577391425,2.266637086868286
V25,218.68703322523925,2.6022789478302
V26,218.65992004243242,3.3371360301971436
V27,218.75055402378348,3.6569368839263916
V28,218.64330190330892,2.5094380378723145
V29,218.6481521408834,3.2709968090057373
V30,218.6455942901527,3.622967004776001
V31,218.75742837381708,2.6525468826293945
V32,218.7549624020524,3.3841238021850586
V33,218.6596162232284,2.2177340984344482
V34,218.66347269207526,2.184598922729492
V35,218.7391852947983,4.2384161949157715
V36,217.9853124238511,2.7163619995117188
V37,215.1489181641384,4.000133991241455
V38,218.07548886568526,2.481088161468506
V39,218.76186454814098,3.1134488582611084
V40,218.75770906391463,2.5018110275268555
V41,218.75805040281017,2.130277156829834
V42,187.29760090607257,3.565124988555908
V43,217.4984834127245,2.5441970825195312
V44,218.53979756878118,4.668916940689087
V45,218.75882054744494,3.285768985748291
V46,218.72649653857076,5.030311822891235
V47,218.75063525070863,3.450183868408203
V48,218.62795514530603,4.22365403175354
V49,218.56726875049782,4.02759313583374
V50,218.75388536492946,3.5954060554504395
V51,218.7605094527917,3.0140058994293213
V52,218.73451412954978,3.4543728828430176
V53,218.65662235230533,3.3164100646972656
V54,218.75388716794515,3.2170259952545166
V55,218.73340256440838,3.7378509044647217
V56,206.7278065971315,3.465618133544922
V57,218.75047956552692,2.443389892578125
V58,218.70116654770283,2.6941609382629395
V59,218.6841126861916,3.5246851444244385
V60,218.68001125064936,3.4021058082580566
V61,218.66917862308165,2.9498870372772217
V62,218.75016392798628,3.681269884109497
V63,218.62051703127008,3.2999801635742188
V64,215.64476384873373,3.54938006401062
V65,218.6098071280502,2.534976005554199
V66,218.7549241726288,3.728999137878418
V67,218.63486686777404,3.464617967605591
V68,218.73664178723155,3.1043038368225098
V69,218.75612252223618,4.542567729949951
V70,218.61134687233974,3.9160168170928955
V71,218.75794433999968,2.5139353275299072
V72,218.72639565592468,3.053692102432251
V73,218.75942590350064,3.2941079139709473
V74,218.73991462232667,2.3242807388305664
V75,218.64413365931964,4.841649055480957
V76,210.15502496741135,2.7767140865325928
V77,218.6479689919113,3.2712957859039307
V78,218.5780187400254,3.4531779289245605
V79,218.67370216280284,4.3772499561309814
V80,216.36920154914245,2.9768550395965576
V81,218.1665531276878,1.0298418998718262
V82,218.75801312355344,2.5525999069213867
V83,218.62747219750253,3.2698380947113037
V84,218.751276749832,3.1000490188598633
V85,218.7344154288872,4.120128870010376
V86,218.06833372495615,2.553745985031128
V87,218.5766290899651,2.992779016494751
V88,218.66696722586303,4.2439539432525635
V89,218.61700639866274,3.981105327606201
V90,209.67686375867703,3.1005449295043945
V91,218.58738781331007,2.787889003753662
V92,217.91483666766794,3.254495859146118
V93,218.67684185988276,2.5866270065307617
V94,218.7430427930027,3.5611541271209717
V95,218.6878070264118,4.051328182220459
V96,218.75234109604725,2.79966402053833
V97,218.1310903619446,4.374116659164429
V98,218.75374543664017,2.902611017227173
V99,218.71708553474707,2.521834135055542
V100,218.56929978997084,2.3240950107574463
V101,218.75777002562873,2.576730966567993
V102,218.6373195826833,3.2160379886627197
V103,218.17698573971504,2.9714648723602295
V104,218.74963669662887,3.8642821311950684
V105,218.77238363681442,3.8625648021698
V106,218.76479549906196,4.369387149810791
V107,218.74970608738545,2.616971015930176
V108,218.7314548798984,3.7199501991271973
V109,218.71523243178302,3.8525729179382324
V110,218.75780029472426,2.5763278007507324
V111,218.7314590365917,2.328908920288086
V112,212.79764341944042,2.7755398750305176
V113,218.5838852523543,2.41178297996521
V114,218.67519162400092,3.930896759033203
V115,218.75654529381387,3.4743669033050537
V116,218.75584888206458,3.477485179901123
V117,218.74133027778555,2.796947956085205
V118,218.75751294989226,2.9452288150787354
V119,218.73254457755536,3.4433412551879883
V120,218.73245318873563,3.064141035079956
V121,218.76427009918092,3.5793299674987793
V122,218.4976161500897,3.519362211227417
