Tract,Z_i,time
V0,122.56531042986472,0.5566987991333008
V1,129.20859785466024,0.5027761459350586
V2,129.85329986365264,0.49729323387145996
V3,128.85253779244596,0.4825875759124756
V4,129.39686182776012,0.4623606204986572
V5,128.75021244136644,0.5116393566131592
V6,129.85329986365264,0.5263736248016357
V7,128.98571526040558,0.6032657623291016
V8,129.85329986365264,0.4852018356323242
V9,128.36559831418035,0.5236780643463135
V10,129.45417512385626,0.5432686805725098
V11,129.40314947786817,0.49025917053222656
V12,129.85329986365264,0.5078830718994141
V13,128.90356343843405,0.5381298065185547
V14,127.24277672097972,0.6830039024353027
V15,129.30268817823043,0.4959402084350586
V16,129.29226342206212,0.5191135406494141
V17,129.8532998636526,0.4792466163635254
V18,128.3291771036304,0.4980607032775879
V19,128.2583213475635,0.6301853656768799
V20,126.69635961175294,0.625544548034668
V21,129.40314947786814,0.5311534404754639
V22,127.45233447722792,0.6238515377044678
V23,129.85329986365264,0.5674512386322021
V24,128.77420097770087,0.49756884574890137
V25,129.61420700224772,0.5232160091400146
V26,129.6877077684964,0.5053114891052246
V27,129.73889679023398,0.5141539573669434
V28,129.32296467607716,0.49155354499816895
V29,129.30268817823043,0.4748270511627197
V30,129.85329986365267,0.4791381359100342
V31,129.85329986365264,0.4901742935180664
V32,129.8010242990088,0.4986386299133301
V33,129.85329986365264,0.4802877902984619
V34,129.67220580743646,0.5144894123077393
V35,129.66668765366387,0.4977290630340576
V36,127.55008479148756,0.5470833778381348
V37,129.85329986365264,0.456697940826416
V38,128.0577980842165,0.515444278717041
V39,129.8493319304583,0.44759130477905273
V40,129.85329986365264,0.47979092597961426
V41,129.85329986365264,0.44129085540771484
V42,128.04981998928412,0.4601156711578369
V43,129.8532998636526,0.5075485706329346
V44,128.48161088170036,0.46054887771606445
V45,129.6472281728731,0.4657318592071533
V46,129.2892930490148,0.4826374053955078
V47,129.85329986365264,0.47577857971191406
V48,126.71309184922046,0.5971064567565918
V49,129.85329986365267,0.5139174461364746
V50,128.8525377923858,0.44213247299194336
V51,129.8532998636527,0.5034518241882324
V52,129.85329986365267,0.4518885612487793
V53,129.68847113223077,0.4578578472137451
V54,129.85366979644363,0.5010659694671631
V55,129.3092727553937,0.4603090286254883
V56,129.77078135914442,0.5143787860870361
V57,129.76466718690222,0.510981559753418
V58,129.85329986365264,0.5118575096130371
V59,129.2207612324148,0.5429201126098633
V60,129.74571405265323,0.49460864067077637
V61,129.68847113154416,0.47388386726379395
V62,129.85329986365264,0.4946885108947754
V63,129.28929304901482,0.4687044620513916
V64,129.60008966557723,0.5293827056884766
V65,127.56341135338639,0.49231505393981934
V66,129.85329986365267,0.45963287353515625
V67,129.85329986365264,0.5054540634155273
V68,129.85329986365264,0.45130252838134766
V69,129.85329986365264,0.5294196605682373
V70,128.99454681434764,0.4419362545013428
V71,128.3960997565534,0.5260205268859863
V72,127.21634107669821,0.5133829116821289
V73,129.44012035202493,0.4692497253417969
V74,129.35854165088824,0.45122361183166504
V75,129.85329986365267,0.4998762607574463
V76,128.83914266323032,0.46517348289489746
V77,129.1392956564498,0.48982882499694824
V78,128.3761216724707,0.48482465744018555
V79,129.7061817832627,0.5838987827301025
V80,128.5475867021793,0.4523305892944336
V81,129.85329986365264,0.19091296195983887
V82,129.8449940585465,0.5151314735412598
V83,128.45876794914443,0.49472522735595703
V84,127.3615975126627,0.5300929546356201
V85,128.61417210026178,0.4945371150970459
V86,129.30268817823043,0.4911839962005615
V87,127.86923270890372,0.5472478866577148
V88,129.3026881782304,0.451549768447876
V89,129.72756212950836,0.5073108673095703
V90,129.85329986365264,0.4411509037017822
V91,129.28929304901476,0.47769737243652344
V92,128.82627205825517,0.48551130294799805
V93,129.8526986069053,0.44614076614379883
V94,129.6944621631596,0.4949638843536377
V95,129.6616004149694,0.49582767486572266
V96,129.77402830994546,0.5420360565185547
V97,129.70065318053344,0.4967982769012451
V98,129.1453168960619,0.4709787368774414
V99,129.8532998636526,0.4919893741607666
V100,129.67586189591623,0.45752930641174316
V101,129.82501210058714,0.44617414474487305
V102,127.92057444010983,0.5089380741119385
V103,129.64966206525477,0.4624154567718506
V104,129.85329986365264,0.4747896194458008
V105,129.85329986365264,0.4893932342529297
V106,129.74326631596068,0.4462583065032959
V107,129.85329986365264,0.4655303955078125
V108,129.66923154997846,0.49899864196777344
V109,128.42714731845882,0.4886190891265869
V110,127.3292876718834,0.5858669281005859
V111,129.85329986365264,0.5003490447998047
V112,129.32296467607716,0.49675869941711426
V113,129.8532998636526,0.4655742645263672
V114,129.7302795313187,0.46182703971862793
V115,127.54162664195064,0.5068118572235107
V116,129.8457640556225,0.4367258548736572
V117,129.85329986365264,0.469362735748291
V118,129.85329986365264,0.463329553604126
V119,128.31398428128998,0.4441685676574707
V120,129.6606266684835,0.4899742603302002
V121,129.85329986365264,0.4578065872192383
V122,127.52795873493451,0.5121307373046875
