Tract,probability
V0,0.049230713664596026
V1,1.0000169660256693
V2,0.9974107600895952
V3,0.9994992330613062
V4,0.9995032145648388
V5,0.9664391269240739
V6,0.9999826651385746
V7,0.9995161072801138
V8,0.9843062175469365
V9,0.9974110920177224
V10,0.9974085300617543
V11,0.6745624616280588
V12,0.9998318223179521
V13,0.999531030182777
V14,0.9993606458003174
V15,0.9974126336122865
V16,0.99953972414063
V17,0.8253403647910593
V18,0.9993508717744365
V19,0.9993795051775275
V20,0.9993774750579474
V21,0.9995984892884818
V22,0.9999619100355701
V23,0.9724986203223083
V24,0.9843560015726996
V25,0.9999593082430237
V26,0.9997583072554387
V27,0.9999015005722601
V28,0.999710857811339
V29,0.9997136754786397
V30,0.9998754946322899
V31,0.9999864810135949
V32,0.9999388362649586
V33,0.999761951001945
V34,0.9997532318316461
V35,0.8078416276418889
V36,0.9974100458831557
V37,0.9843557607708581
V38,0.997398074405739
V39,0.6865016122203007
V40,0.9999889426383021
V41,1.0000101938824324
V42,0.9999712132910948
V43,0.9993735610656613
V44,0.9996090195945196
V45,0.9999880816999863
V46,0.9999376137007628
V47,0.999964864889456
V48,0.9996916564389818
V49,0.9571897930065721
V50,0.9999761504076382
V51,0.999680011040967
V52,0.9999891224341669
V53,0.9996517747593846
V54,0.9999883000444627
V55,0.9700677830194686
V56,0.999974837227941
V57,0.9999914785811492
V58,0.9444246270799499
V59,0.9999533997969686
V60,0.9998386395684666
V61,0.9998231832573513
V62,0.9999822343137039
V63,0.9996303404787887
V64,0.9998112103334756
V65,0.99959574809918
V66,0.9999875174533053
V67,0.9996825354989305
V68,0.0
V69,0.9999904540317226
V70,0.99991110320101
V71,0.9997669808600368
V72,0.999923041539345
V73,0.999989123017971
V74,0.9999670432629397
V75,0.9996379419470244
V76,0.999658187725862
V77,0.999728517636654
V78,0.7202821220762621
V79,0.9999646861123747
V80,0.9994933421371418
V81,0.9970984694550575
V82,0.9999893494821053
V83,0.6142276060557983
V84,0.9999183764900861
V85,0.999981975006305
V86,0.921590403006077
V87,0.9995437209899501
V88,0.9997813183287314
V89,0.998545027364217
V90,0.9992402066632639
V91,0.9993326413454092
V92,0.9974314316179943
V93,0.9999909549532648
V94,0.9999658085241968
V95,0.9972686980802213
V96,0.9999736965504035
V97,0.9999604084182359
V98,0.999986919479303
V99,1.0000151132418589
V100,0.9329021342092678
V101,0.9975613134234231
V102,0.9996962884285961
V103,0.9999562686815815
V104,0.9999841304490799
V105,0.99998911530595
V106,0.9999995130399374
V107,1.0000044576063152
V108,0.9998652712130693
V109,0.9999209809553878
V110,0.9999637899245305
V111,0.9521122249971589
V112,0.9995874285520362
V113,0.9991303429430256
V114,0.9998137590573255
V115,0.9999885855167898
V116,0.999988968273797
V117,0.9999623035830845
V118,1.0000119064917654
V119,0.9999617722291884
V120,0.9999535894394054
V121,0.9999911193783266
V122,0.9995388041765161
