Tract index,P
66,[1.0000000e+00 1.5624438e-47]
67,[1.00000000e+00 1.87403722e-32]
68,[1.00000000e+00 1.44595921e-30]
69,[1.00000000e+00 6.24094279e-36]
70,[1.00000000e+00 1.76063194e-46]
71,[1.00000000e+00 1.99803568e-48]
72,[1.00000000e+00 2.04946676e-48]
73,[1.00000000e+00 1.51914807e-44]
74,[1.00000000e+00 3.18303887e-46]
75,[1.00000000e+00 1.95558638e-41]
76,[1.00000000e+00 2.23063302e-39]
77,[1.00000000e+00 5.47125964e-43]
78,[1.00000000e+00 3.89744817e-42]
79,[1.00000000e+00 2.92670527e-46]
80,[1.00000000e+00 2.26489743e-44]
82,[1.00000000e+00 7.90305032e-49]
83,[1.0000000e+00 2.3177335e-45]
84,[1.00000000e+00 3.80146199e-47]
85,[1.00000000e+00 1.97175814e-48]
86,[1.00000000e+00 2.23256774e-43]
87,[1.00000000e+00 2.81420401e-42]
88,[1.00000000e+00 1.20122154e-36]
89,[1.00000000e+00 1.12910769e-43]
90,[1.00000000e+00 2.25708401e-33]
91,[1.00000000e+00 6.85946444e-32]
92,[1.00000000e+00 4.92671692e-44]
93,[1.00000000e+00 4.18437408e-50]
94,[1.00000000e+00 1.11600913e-40]
95,[1.00000000e+00 3.57721003e-42]
whole GM,3355.710100415393
