Tract index,P
66,[0.45134727 0.54865273]
67,[0.45113256 0.54886744]
68,[0.45231944 0.54768056]
69,[0.45258302 0.54741698]
70,[0.45020844 0.54979156]
71,[0.45015215 0.54984785]
72,[0.45015708 0.54984292]
73,[0.45240483 0.54759517]
74,[0.4508591 0.5491409]
75,[0.45113446 0.54886554]
76,[0.45097883 0.54902117]
77,[0.4510783 0.5489217]
78,[0.45053502 0.54946498]
79,[0.45113812 0.54886188]
80,[0.45088431 0.54911569]
82,[0.4501282 0.5498718]
83,[0.45081821 0.54918179]
84,[0.45026445 0.54973555]
85,[0.4498863 0.5501137]
86,[0.45039154 0.54960846]
87,[0.4506958 0.5493042]
88,[0.45141141 0.54858859]
89,[0.45156517 0.54843483]
90,[0.45041259 0.54958741]
91,[0.4501731 0.5498269]
92,[0.45028373 0.54971627]
93,[0.44953081 0.55046919]
94,[0.45118538 0.54881462]
95,[0.45137902 0.54862098]
whole GM,20.239973926941612
