Tract index,P
66,[0.46366148 0.53633852]
67,[0.46061052 0.53938948]
68,[0.47231623 0.52768377]
69,[0.47526154 0.52473846]
70,[0.45230042 0.54769958]
71,[0.45268091 0.54731909]
72,[0.45222877 0.54777123]
73,[0.47388769 0.52611231]
74,[0.4584502 0.5415498]
75,[0.46029747 0.53970253]
76,[0.45873032 0.54126968]
77,[0.45990626 0.54009374]
78,[0.45450173 0.54549827]
79,[0.46117515 0.53882485]
80,[0.45836512 0.54163488]
82,[0.4530823 0.5469177]
83,[0.45757528 0.54242472]
84,[0.45271014 0.54728986]
85,[0.44874473 0.55125527]
86,[0.45338972 0.54661028]
87,[0.45612974 0.54387026]
88,[0.4629947 0.5370053]
89,[0.46477719 0.53522281]
90,[0.45299478 0.54700522]
91,[0.45059388 0.54940612]
92,[0.45209111 0.54790889]
93,[0.44645416 0.55354584]
94,[0.46100418 0.53899582]
95,[0.46293493 0.53706507]
whole GM,20.189148563165894
