Tract index,P
66,[0.45127333 0.54872667]
67,[0.45105574 0.54894426]
68,[0.4522483 0.5477517]
69,[0.45251406 0.54748594]
70,[0.45013669 0.54986331]
71,[0.45008197 0.54991803]
72,[0.45008319 0.54991681]
73,[0.45233822 0.54766178]
74,[0.4507853 0.5492147]
75,[0.45105836 0.54894164]
76,[0.45090268 0.54909732]
77,[0.45100273 0.54899727]
78,[0.45045816 0.54954184]
79,[0.45106225 0.54893775]
80,[0.45080853 0.54919147]
82,[0.45006152 0.54993848]
83,[0.45074079 0.54925921]
84,[0.45018633 0.54981367]
85,[0.44980592 0.55019408]
86,[0.45031284 0.54968716]
87,[0.45062312 0.54937688]
88,[0.45133604 0.54866396]
89,[0.45149068 0.54850932]
90,[0.4503327 0.5496673]
91,[0.45009133 0.54990867]
92,[0.45020583 0.54979417]
93,[0.4494493 0.5505507]
94,[0.4511134 0.5488866]
95,[0.4513055 0.5486945]
whole GM,20.23977300357177
