Tract,Z_i,time
V0,362.1444739854104,7.8595898151397705
V1,365.1776672582852,4.977171897888184
V2,364.48453019327405,3.3643879890441895
V3,337.0699632057046,6.731983423233032
V4,327.80780000153396,5.887719392776489
V5,357.86875506566463,4.85751748085022
V6,365.18312073737167,4.780493259429932
V7,365.1943627243747,8.327272415161133
V8,364.94145411222433,8.479063749313354
V9,364.95384824851,5.642226934432983
V10,326.59034839513225,7.46674656867981
V11,354.3707085375756,9.07875919342041
V12,365.1777222923597,4.209468364715576
V13,365.12645678859997,6.617035388946533
V14,303.84517088628456,6.067430257797241
V15,345.7083190468568,10.500778198242188
V16,365.1099582559582,4.26296329498291
V17,350.40279021928035,7.691244125366211
V18,365.09935688805183,7.093712568283081
V19,183.9436148568754,9.256556510925293
V20,365.14697093968545,6.130664348602295
V21,365.1354184152976,5.956571340560913
V22,355.49037608090396,7.397044658660889
V23,365.16196857531423,4.310547590255737
V24,358.4727727185532,4.990377187728882
V25,365.15065981126065,7.256889820098877
V26,354.01704200537193,5.1829259395599365
V27,0,0
V28,365.01410271391256,9.779509544372559
V29,365.1598830477479,4.080565690994263
V30,365.1618127726131,4.861656427383423
V31,317.2349330194931,10.510863065719604
V32,365.17729595825614,3.3537144660949707
V33,341.53505223106384,5.920233726501465
V34,290.39481104965375,9.546314716339111
V35,365.0216053496607,9.080030918121338
V36,364.97774249031164,7.058398723602295
V37,364.4845667219868,4.616591453552246
V38,359.4917900516895,6.914087533950806
V39,365.1659158720556,9.34395956993103
V40,365.177802676601,5.727605819702148
V41,365.1206947949329,4.474332809448242
V42,360.7201156024192,9.379191875457764
V43,365.0024500703406,9.100296020507812
V44,362.733217024559,10.911658525466919
V45,365.1774037755141,4.646992444992065
V46,341.0411536572035,7.44683313369751
V47,365.1405086682344,4.6932737827301025
V48,365.13932245932705,9.57539677619934
V49,245.61284498336732,10.41881275177002
V50,365.1393407360378,7.519074440002441
V51,365.1466958530298,6.23891019821167
V52,365.1776552728267,2.732431650161743
V53,343.5772960134122,6.929551839828491
V54,365.1750418153841,5.739957809448242
V55,365.12589893150147,8.342255353927612
V56,365.173714679447,8.024220705032349
V57,365.125102105313,5.591004371643066
V58,261.768472090488,3.7109334468841553
V59,365.19743396978066,5.32474160194397
V60,365.1426434406237,6.27597975730896
V61,365.11692744587316,5.556891679763794
V62,289.9134446799152,4.472590446472168
V63,365.04434376411217,10.104362487792969
V64,365.08626142640367,11.086475610733032
V65,339.0713902494974,5.143189907073975
V66,365.18124604704565,8.565871715545654
V67,278.9093832022105,6.937937021255493
V68,365.0476159054948,10.126237154006958
V69,343.6606170338211,7.2726805210113525
V70,365.1538251973597,6.856949090957642
V71,365.17778675306573,4.840735912322998
V72,365.1776955919471,3.9969775676727295
V73,365.1297954755376,7.213247776031494
V74,365.1823513128899,6.028909206390381
V75,278.00776463606417,5.93892765045166
V76,365.12641771506367,3.6776247024536133
V77,365.064070894966,5.902400493621826
V78,358.12067341776395,4.547783613204956
V79,365.1817870895436,5.374344825744629
V80,232.6670792327571,5.158240079879761
V81,364.36734169672064,1.5029566287994385
V82,365.17772212472,3.019881248474121
V83,365.1737133571698,4.215641021728516
V84,365.10672181853556,7.9272825717926025
V85,365.17943147351997,3.9391415119171143
V86,327.5206827546605,7.653051376342773
V87,365.0460767746569,7.426506042480469
V88,365.0956181851504,4.436533212661743
V89,365.12809776778425,7.44597601890564
V90,365.15564693394924,9.048783779144287
V91,365.06907255229726,4.678356170654297
V92,359.52322796772677,6.072900056838989
V93,365.17752889950185,5.033606290817261
V94,358.2731368307125,7.32270622253418
V95,255.1479560653611,7.286008358001709
V96,240.88862062530188,9.639487981796265
V97,365.1777858125564,5.628002405166626
V98,195.61109584150427,6.120966196060181
V99,334.2590051876685,6.919976711273193
V100,365.1666406810997,6.483134508132935
V101,365.17712785323647,8.572637557983398
V102,365.07973497317954,7.836062431335449
V103,362.75897152604153,6.907360553741455
V104,365.084964899258,5.810369968414307
V105,361.6009390720232,4.419796466827393
V106,365.18355942107524,6.6186628341674805
V107,365.13729895045236,9.466565370559692
V108,361.83851584131446,6.01112699508667
V109,365.15020679860925,10.967190265655518
V110,365.1915342152539,6.7495129108428955
V111,365.158069934752,5.302655458450317
V112,162.27676906035498,4.9308812618255615
V113,364.917456817785,9.151333570480347
V114,353.7544919994791,7.602084159851074
V115,365.16508471620574,4.038524866104126
V116,354.9164284282705,7.469978094100952
V117,365.16057360326346,6.667906045913696
V118,364.76982039449473,9.326061248779297
V119,364.9010310079637,6.039292573928833
V120,365.06385425083715,6.766226768493652
V121,363.96802164239534,6.610504388809204
V122,362.0421681707133,7.089646339416504
