Tract,Z_i,time
V0,0,0
V1,0,0
V2,0,0
V3,0,0
V4,0,0
V5,0,0
V6,217.72521672853452,12.110625982284546
V7,250.4805463761393,8.201215267181396
V8,442.32387863550696,7.407955169677734
V9,366.6994126167938,8.56481122970581
V10,0,0
V11,497.32867356676337,4.842961311340332
V12,0,0
V13,497.4243920300923,7.112473249435425
V14,0,0
V15,0,0
V16,497.4179968559946,7.620420455932617
V17,0,0
V18,0,0
V19,0,0
V20,0,0
V21,473.85597939341807,12.24446177482605
V22,0,0
V23,456.3016871783857,11.24951457977295
V24,487.733798753534,10.060123682022095
V25,0,0
V26,497.44971471509564,9.126154899597168
V27,0,0
V28,0,0
V29,497.42006891438496,9.270516157150269
V30,0,0
V31,0,0
V32,0,0
V33,0,0
V34,494.90749411348474,8.357254981994629
V35,497.45645298194586,4.768441200256348
V36,489.0563361894673,9.699296236038208
V37,0,0
V38,0,0
V39,496.04637889294725,9.504658460617065
V40,0,0
V41,0,0
V42,0,0
V43,415.41334806318844,10.340447187423706
V44,497.1603112950126,6.51294732093811
V45,497.44521677109555,5.914119005203247
V46,497.43035002473124,4.8835179805755615
V47,395.12053669803686,8.393631219863892
V48,465.8956158339063,9.133082151412964
V49,0,0
V50,364.0318574893301,9.346832990646362
V51,200.92502600441748,9.766998291015625
V52,322.93439940466726,12.472143650054932
V53,0,0
V54,497.4083947423813,8.909064292907715
V55,0,0
V56,0,0
V57,0,0
V58,446.81141211621957,4.709676265716553
V59,497.43580440750037,10.89913535118103
V60,0,0
V61,0,0
V62,413.6632655921024,10.618764162063599
V63,0,0
V64,0,0
V65,475.9665477986875,6.3470354080200195
V66,497.4482764684821,7.220883369445801
V67,496.8344966235383,7.426032304763794
V68,484.86183537552535,5.109270811080933
V69,497.4528808309738,7.397607088088989
V70,0,0
V71,497.4502304979821,7.024395704269409
V72,485.1229958780513,7.614603757858276
V73,497.4118173673863,5.855203628540039
V74,318.4496324528639,9.66439414024353
V75,497.42787967446304,4.480844259262085
V76,0,0
V77,0,0
V78,357.6918934463938,9.777984857559204
V79,0,0
V80,0,0
V81,496.3033581762055,3.0411109924316406
V82,497.45022821421065,3.7884249687194824
V83,0,0
V84,472.16281712813543,6.141417503356934
V85,0,0
V86,468.36430511038066,10.739851713180542
V87,0,0
V88,0,0
V89,426.317653378461,11.540247440338135
V90,421.49621166863983,6.433098554611206
V91,0,0
V92,490.37104732962354,9.77344822883606
V93,497.4476264865378,5.174617052078247
V94,497.3687104008003,10.485764741897583
V95,0,0
V96,0,0
V97,0,0
V98,0,0
V99,497.45020915628277,3.705821990966797
V100,192.21297108691272,10.186512231826782
V101,173.93169156564602,14.195724725723267
V102,0,0
V103,0,0
V104,0,0
V105,497.4049648008333,6.14435601234436
V106,0,0
V107,157.63639189667873,12.754681587219238
V108,497.4436193692441,8.617505550384521
V109,497.42767505765215,7.511656284332275
V110,199.26537036003975,10.092725276947021
V111,483.8344387649065,5.6139442920684814
V112,0,0
V113,497.3652760890833,7.5404675006866455
V114,0,0
V115,0,0
V116,0,0
V117,0,0
V118,0,0
V119,0,0
V120,202.14197034400252,8.722299575805664
V121,497.40516238856435,5.957549571990967
V122,193.9519404137987,9.48255705833435
