Tract,probability
V0,0.0
V1,0.0
V2,0.0
V3,0.0
V4,0.0
V5,0.0
V6,0.0
V7,0.0
V8,0.8024740405308238
V9,0.0
V10,0.7941288405042287
V11,0.0
V12,0.0
V13,0.0
V14,0.0
V15,0.7841925429692644
V16,0.25883029496174353
V17,0.0
V18,0.0
V19,0.0
V20,0.0
V21,0.0
V22,0.0
V23,0.0
V24,0.0
V25,0.0
V26,0.0
V27,0.0
V28,0.0
V29,0.0
V30,0.9537545237708577
V31,0.0
V32,0.0
V33,0.0
V34,0.0
V35,0.0
V36,0.859973919435732
V37,0.0
V38,0.0
V39,0.0
V40,0.0
V41,0.9570907923336015
V42,0.0
V43,0.0
V44,0.0
V45,0.0
V46,0.7274784338603012
V47,0.0
V48,0.0
V49,0.0
V50,0.8452242979124134
V51,0.0
V52,0.0
V53,0.0
V54,0.8897411891060566
V55,0.0
V56,0.0
V57,0.98559128547765
V58,0.0
V59,0.6678001735229865
V60,0.0
V61,0.0
V62,0.0
V63,0.0
V64,0.0
V65,0.6081444261386054
V66,0.0
V67,0.0
V68,0.0
V69,0.0
V70,0.0
V71,0.8490570108519045
V72,0.0
V73,1.0619963584080778
V74,0.5549700913249512
V75,0.0
V76,0.0
V77,0.8759837736905985
V78,0.3378436106621746
V79,0.0
V80,0.8302162364614449
V81,1.105773979185502
V82,0.0
V83,0.0
V84,0.0
V85,0.0
V86,0.0
V87,0.0
V88,0.0
V89,0.0
V90,0.0
V91,0.0
V92,0.0
V93,0.0
V94,0.0
V95,0.0
V96,1.039763425916124
V97,0.0
V98,0.0
V99,0.0
V100,0.0
V101,0.0
V102,0.8425383381153793
V103,0.0
V104,0.0
V105,0.0
V106,0.0
V107,0.0
V108,0.0
V109,0.0
V110,0.0
V111,0.0
V112,0.0
V113,0.0
V114,0.0
V115,0.33311425681633816
V116,0.0
V117,0.0
V118,0.0
V119,0.0
V120,0.0
V121,0.0
V122,0.0
