Tract,Z_i,time,P_i
V66,20.18235306064208,25.104115962982178,0.9657720666187757
V67,20.194075621470308,25.65547013282776,0.9663330181472286
V68,20.19613911698439,20.283766984939575,0.966431761159062
V69,20.186668322729346,20.44015598297119,0.9659785618461408
V70,20.18638295109134,17.394020080566406,0.9659649061561545
V71,20.177392306512715,17.5925772190094,0.9655346831108612
V72,20.18287369552351,20.19832706451416,0.9657969801966862
V73,20.178957938300474,21.297025203704834,0.9656096021969898
V74,20.182919819442667,26.251871824264526,0.9657991873324245
V75,20.193466392929295,23.357738971710205,0.9663038651587079
V76,20.19091162513842,19.964994192123413,0.9661816136372073
V77,20.190827224454893,21.98385500907898,0.9661775748701563
V78,20.18905259355715,25.978389024734497,0.9660926546953655
V79,20.18639542819269,22.543680906295776,0.9659655032141843
V80,20.18909037999915,19.9963161945343,0.9660944628636238
V82,20.171082001724184,21.64039397239685,0.965232720496378
V83,20.19007554219506,19.945244789123535,0.9661416051431707
V84,20.18353564918225,18.298882007598877,0.965828656203497
V85,20.18537480015384,19.430872917175293,0.9659166638123878
V86,20.188178209689212,18.721237897872925,0.9660508134138945
V87,20.18952559441649,19.157037019729614,0.966115288875635
V88,20.193920654886185,18.9671471118927,0.9663256026393462
V89,20.19132861572517,19.36677098274231,0.966201567596962
V90,20.19357820121939,18.886322259902954,0.966309215442843
V91,20.1945592514701,18.84479284286499,0.9663561609563438
V92,20.19247806216419,18.41444420814514,0.966256571255829
V93,20.17460409111861,18.29882526397705,0.9654012605840007
V94,20.188068432733218,17.461082696914673,0.9660455603337735
V95,20.19022548619555,13.595793962478638,0.966148780308861
V96,20.195904676235138,14.15064787864685,0.9664205426293779
whole GM,20.897635951826267,16.02848219871521,N/A
