Tract index,P
66,[0.46350144 0.53649856]
67,[0.46060744 0.53939256]
68,[0.47228249 0.52771751]
69,[0.47517432 0.52482568]
70,[0.45225142 0.54774858]
71,[0.45236874 0.54763126]
72,[0.45213224 0.54786776]
73,[0.47373899 0.52626101]
74,[0.45842191 0.54157809]
75,[0.46030459 0.53969541]
76,[0.45868256 0.54131744]
77,[0.45989914 0.54010086]
78,[0.45446046 0.54553954]
79,[0.46093656 0.53906344]
80,[0.45820414 0.54179586]
82,[0.45284386 0.54715614]
83,[0.45746241 0.54253759]
84,[0.4526662 0.5473338]
85,[0.44861162 0.55138838]
86,[0.45331595 0.54668405]
87,[0.45608104 0.54391896]
88,[0.46295139 0.53704861]
89,[0.4647466 0.5352534]
90,[0.45298454 0.54701546]
91,[0.45058618 0.54941382]
92,[0.45208716 0.54791284]
93,[0.44614535 0.55385465]
94,[0.46085565 0.53914435]
95,[0.4628987 0.5371013]
96,[0.47185298 0.52814702]
whole GM,20.88388169312449
