Tract index,P
66,[0.49529357 0.50470643]
67,[0.48109867 0.51890133]
68,[0.5080576 0.4919424]
69,[0.51947764 0.48052236]
70,[0.46654761 0.53345239]
71,[0.47354327 0.52645673]
72,[0.46897589 0.53102411]
73,[0.51934051 0.48065949]
74,[0.48104086 0.51895914]
75,[0.47890677 0.52109323]
76,[0.47606071 0.52393929]
77,[0.47934779 0.52065221]
78,[0.46675798 0.53324202]
79,[0.48647734 0.51352266]
80,[0.47783931 0.52216069]
82,[0.47926432 0.52073568]
83,[0.47520882 0.52479118]
84,[0.46785029 0.53214971]
85,[0.45679269 0.54320731]
86,[0.46522929 0.53477071]
87,[0.47072627 0.52927373]
88,[0.48500067 0.51499933]
89,[0.49091653 0.50908347]
90,[0.46021941 0.53978059]
91,[0.45413864 0.54586136]
92,[0.46014215 0.53985785]
93,[0.4584999 0.5415001]
94,[0.48305839 0.51694161]
95,[0.48699171 0.51300829]
96,[0.50650086 0.49349914]
whole GM,20.903735705190122
