Tract,UVX,UVY
0,619.0,-4.0
1,571.0,0.0
2,497.0,-17.0
3,450.0,-7.0
4,446.0,36.0
5,411.0,24.0
6,519.0,39.0
7,594.0,43.0
8,634.0,61.0
9,656.0,70.0
10,604.0,82.0
11,578.0,82.0
12,532.0,78.0
13,478.0,98.0
14,424.0,85.0
15,337.0,126.0
16,374.0,118.0
17,432.0,123.0
18,478.0,133.0
19,529.0,127.0
20,564.0,126.0
21,601.0,130.0
22,647.0,130.0
23,628.0,165.0
24,588.0,179.0
25,564.0,180.0
26,511.0,163.0
27,458.0,171.0
28,428.0,170.0
29,392.0,171.0
30,345.0,171.0
31,331.0,218.0
32,383.0,209.0
33,426.0,214.0
34,449.0,216.0
35,527.0,202.0
36,608.0,196.0
37,643.0,194.0
38,686.0,193.0
39,668.0,259.0
40,637.0,231.0
41,589.0,243.0
42,562.0,236.0
43,531.0,238.0
44,501.0,237.0
45,384.0,235.0
46,430.0,267.0
47,454.0,280.0
48,478.0,270.0
49,507.0,280.0
50,535.0,274.0
51,565.0,266.0
52,574.0,282.0
53,485.0,305.0
54,306.0,341.0
55,320.0,297.0
56,353.0,300.0
57,368.0,352.0
58,409.0,324.0
59,452.0,340.0
60,534.0,336.0
61,583.0,359.0
62,643.0,374.0
63,581.0,400.0
64,541.0,398.0
65,524.0,375.0
66,468.0,386.0
67,440.0,370.0
68,411.0,377.0
69,437.0,404.0
70,432.0,424.0
71,472.0,450.0
72,505.0,438.0
73,527.0,433.0
74,551.0,435.0
75,574.0,428.0
76,601.0,439.0
77,628.0,465.0
78,572.0,458.0
79,459.0,454.0
80,473.0,468.0
81,492.0,491.0
82,514.0,477.0
83,521.0,470.0
84,527.0,460.0
85,523.0,500.0
86,548.0,490.0
87,575.0,494.0
88,603.0,488.0
89,609.0,532.0
90,573.0,522.0
91,531.0,523.0
92,515.0,517.0
93,531.0,588.0
94,564.0,571.0
95,616.0,594.0
96,350.0,574.0
97,295.0,626.0
98,332.0,633.0
99,367.0,633.0
100,406.0,654.0
101,573.0,631.0
102,637.0,656.0
103,680.0,713.0
104,643.0,707.0
105,588.0,707.0
106,361.0,692.0
107,353.0,734.0
108,406.0,745.0
109,440.0,738.0
110,536.0,740.0
111,617.0,762.0
112,659.0,764.0
113,680.0,767.0
114,534.0,820.0
115,462.0,821.0
116,424.0,823.0
117,387.0,803.0
118,356.0,804.0
119,645.0,831.0
120,685.0,832.0
121,711.0,904.0
122,374.0,874.0
