Tract index,X,Y
0,626.0,30.0
1,575.0,34.0
2,497.0,16.0
3,447.0,27.0
4,443.0,73.0
5,406.0,60.0
6,520.0,76.0
7,599.0,80.0
8,641.0,99.0
9,665.0,109.0
10,610.0,122.0
11,582.0,121.0
12,533.0,117.0
13,477.0,138.0
14,419.0,124.0
15,327.0,168.0
16,367.0,160.0
17,428.0,164.0
18,477.0,175.0
19,531.0,169.0
20,568.0,168.0
21,606.0,172.0
22,655.0,172.0
23,636.0,209.0
24,593.0,223.0
25,568.0,224.0
26,511.0,207.0
27,456.0,215.0
28,424.0,214.0
29,386.0,215.0
30,336.0,216.0
31,322.0,264.0
32,376.0,255.0
33,422.0,261.0
34,446.0,263.0
35,529.0,248.0
36,614.0,241.0
37,651.0,239.0
38,697.0,238.0
39,678.0,308.0
40,645.0,278.0
41,594.0,291.0
42,566.0,284.0
43,533.0,286.0
44,501.0,285.0
45,378.0,283.0
46,426.0,317.0
47,451.0,331.0
48,477.0,319.0
49,507.0,330.0
50,537.0,324.0
51,568.0,315.0
52,578.0,333.0
53,484.0,356.0
54,295.0,395.0
55,310.0,348.0
56,344.0,352.0
57,360.0,407.0
58,403.0,377.0
59,449.0,394.0
60,536.0,390.0
61,588.0,414.0
62,651.0,430.0
63,585.0,458.0
64,544.0,455.0
65,526.0,431.0
66,467.0,442.0
67,437.0,426.0
68,405.0,433.0
69,433.0,461.0
70,428.0,483.0
71,470.0,510.0
72,505.0,498.0
73,528.0,492.0
74,554.0,494.0
75,579.0,487.0
76,607.0,499.0
77,636.0,526.0
78,576.0,518.0
79,457.0,514.0
80,472.0,529.0
81,492.0,553.0
82,515.0,538.0
83,522.0,531.0
84,528.0,521.0
85,525.0,563.0
86,551.0,553.0
87,579.0,557.0
88,609.0,550.0
89,615.0,596.0
90,577.0,586.0
91,533.0,588.0
92,515.0,581.0
93,533.0,656.0
94,567.0,638.0
95,623.0,662.0
96,342.0,641.0
97,284.0,696.0
98,323.0,703.0
99,359.0,703.0
100,401.0,725.0
101,577.0,702.0
102,644.0,728.0
103,691.0,788.0
104,651.0,781.0
105,593.0,781.0
106,353.0,766.0
107,345.0,810.0
108,401.0,822.0
109,437.0,814.0
110,538.0,817.0
111,624.0,840.0
112,668.0,842.0
113,690.0,845.0
114,536.0,901.0
115,460.0,902.0
116,420.0,905.0
117,380.0,883.0
118,347.0,884.0
119,653.0,913.0
120,695.0,914.0
121,723.0,990.0
122,367.0,958.0
