County,Lat,Lon,Population,Density per acre,Population by annual travel,Normalized population,County seat
Adams,43.97,-89.82,20094,,8.42569439280186E-05,0.003470362030571,Friendship
Ashland,46.58,-90.87,15617,,5.96174363956452E-05,0.002697155560437,Ashland
Barron,45.4,-91.85,45229,,6.34205836917606E-05,0.007811336930462,Barron
Bayfield,46.67,-90.89,14993,,3.53856398686863E-05,0.002589386778359,Washburn
Brown,44.52,-87.99,261368,,0.000102519609403,0.045139921529129,Green Bay
Buffalo,44.44,-90.91,13126,,4.75885181877708E-05,0.002266943964033,Alma
Burnett,45.78,-92.38,15289,,5.335560479358E-05,0.002640507867294,Siren
Calumet,44.03,-88.16,49928,,0.000111124774439,0.008622884217296,Chilton
Chippewa,44.94,-91.39,63892,,6.26106618484065E-05,0.011034556129056,Chippewa Falls
Clark,44.56,-90.59,34579,,6.15647765371667E-05,0.00597201396711,Neillsville
Columbia,43.55,-89.47,57133,,5.36050445656144E-05,0.009867233696259,Portage
Crawford,43.04,-91.14,16235,,6.38239024819518E-05,0.002803888104226,Prairie du Chien
Dane,43.08,-89.39,536078,,0.000102052509048,0.092584091600702,Madison
Dodge,43.41,-88.7,87715,,8.48161051177824E-05,0.015148940256372,Juneau
Door,44.82,-87.37,27472,,5.47919277441425E-05,0.004744589713539,Sturgeon Bay
Douglas,46.7,-92.06,43295,,6.65334154263014E-05,0.007477322788573,Superior
Dunn,44.89,-91.91,44759,,5.8800985516551E-05,0.00773016493114,Menomonie
Eau Claire,44.82,-91.49,103514,,9.1090097292318E-05,0.017877528378249,Eau Claire
Florence,45.93,-88.25,4314,,4.57990517239457E-05,0.000745055329943,Florence
Fond Du Lac,43.77,-88.44,102597,,8.18434811567943E-05,0.017719156626381,Fond du Lac
Forest,45.57,-88.9,8995,,5.63495037406642E-05,0.00155349390191,Crandon
Grant,42.85,-90.71,51733,,8.89636119257396E-05,0.008934619235968,Lancaster
Green,42.6,-89.64,36896,,0.000107493249042,0.006372174653128,Monroe
Green Lake,43.84,-88.96,18755,,8.19918614497984E-05,0.003239108185695,Green Lake
Iowa,42.97,-90.13,23618,,5.51183977279215E-05,0.004078979319102,Dodgeville
Iron,46.45,-90.2,5687,,4.82966021128129E-05,0.000982181191791,Hurley
Jackson,44.3,-90.84,20522,,2.79642441124259E-05,0.003544280361868,Black River Falls
Jefferson,43,-88.81,84701,,8.17075798956851E-05,0.014628403222425,Jefferson
