Tract,UVX,UVY
0,481.0,602.0
1,336.0,90.0
2,201.0,324.0
3,333.0,72.0
4,733.0,496.0
5,330.0,512.0
6,128.0,250.0
7,710.0,590.0
8,264.0,415.0
9,375.0,488.0
10,529.0,682.0
11,299.0,779.0
12,540.0,771.0
13,635.0,709.0
14,819.0,438.0
15,172.0,66.0
16,192.0,424.0
17,250.0,438.0
18,697.0,220.0
19,671.0,640.0
20,608.0,291.0
21,358.0,815.0
22,506.0,862.0
23,599.0,627.0
24,438.0,792.0
25,428.0,116.0
26,340.0,539.0
27,620.0,786.0
28,445.0,635.0
29,750.0,864.0
30,799.0,508.0
31,286.0,631.0
32,439.0,847.0
33,572.0,375.0
34,497.0,368.0
35,776.0,577.0
36,506.0,411.0
37,783.0,385.0
38,548.0,636.0
39,649.0,428.0
40,736.0,775.0
41,344.0,608.0
42,750.0,424.0
43,535.0,277.0
44,678.0,542.0
45,748.0,715.0
46,186.0,475.0
47,114.0,453.0
48,118.0,313.0
49,518.0,494.0
50,401.0,265.0
51,758.0,837.0
52,404.0,722.0
53,593.0,845.0
54,304.0,313.0
55,492.0,697.0
56,252.0,204.0
57,652.0,448.0
58,769.0,646.0
59,79.0,411.0
60,409.0,375.0
61,272.0,525.0
62,333.0,680.0
63,558.0,222.0
64,657.0,849.0
65,194.0,259.0
66,707.0,707.0
67,697.0,785.0
68,584.0,529.0
69,554.0,583.0
70,655.0,592.0
71,479.0,521.0
